year,state,county_name,fips_code,rep_num,dem_num,county_num,vap,dem_margin,turnout,state_electoral_votes
2004,AL,Pike,01109,7483.0,4334.0,11883,22675,-0.265000420769166,0.5240573318632855,9
2004,AL,Randolph,01111,6127.0,2817.0,9001,17075,-0.36773691812020887,0.5271449487554905,9
2004,AL,Russell,01113,8337.0,8375.0,16809,37435,0.002260693676006901,0.44901829838386537,9
2004,AL,St. Clair,01115,23500.0,5456.0,29161,58460,-0.6187716470628579,0.49881970578173107,9
2004,AL,Shelby,01117,63435.0,14850.0,78906,130685,-0.6157326439054064,0.6037877338638712,9
2004,AL,Sumter,01119,1880.0,4527.0,6433,9940,0.41147209699984455,0.6471830985915493,9
2004,AL,Talladega,01121,18331.0,11374.0,29898,60600,-0.23269114990969295,0.49336633663366336,9
2004,AL,Tallapoosa,01123,12392.0,5451.0,17952,31300,-0.3866421568627451,0.5735463258785942,9
2004,AL,Tuscaloosa,01125,42877.0,26447.0,69830,134435,-0.23528569382786768,0.5194331833227954,9
2004,AL,Walker,01127,19167.0,9016.0,28367,52740,-0.3578453837205203,0.537864998103906,9
2004,AL,Washington,01129,5060.0,3145.0,8247,12910,-0.23220565053959016,0.6388071262587142,9
2004,AL,Wilcox,01131,1834.0,3838.0,5682,8860,0.3526927138331573,0.6413092550790068,9
2004,AL,Winston,01133,8130.0,2236.0,10423,18415,-0.5654801880456682,0.5660059733912571,9
2008,AL,Autauga,01001,17403.0,6093.0,23641,35315,-0.47840615879192927,0.6694322525838878,9
2008,AL,Baldwin,01003,61271.0,19386.0,81413,128945,-0.5144755751538452,0.6313777191825972,9
2008,AL,Barbour,01005,5866.0,5697.0,11630,22285,-0.014531384350816853,0.5218757011442674,9
2008,AL,Bibb,01007,6262.0,2299.0,8644,16255,-0.4584683017121703,0.5317748385112273,9
2008,AL,Blount,01009,20389.0,3522.0,24267,41095,-0.6950591338031071,0.5905097943788782,9
2008,AL,Bullock,01011,1391.0,4011.0,5415,8245,0.4838411819021237,0.6567616737416616,9
2008,AL,Butler,01013,5485.0,4188.0,9709,15050,-0.1335873931403852,0.6451162790697674,9
2008,AL,Calhoun,01015,32348.0,16334.0,49242,85110,-0.3252101864262215,0.5785689108212901,9
2008,AL,Chambers,01017,8067.0,6799.0,14956,26390,-0.08478202728002139,0.5667298219022356,9
2008,AL,Cherokee,01019,7298.0,2306.0,9745,19335,-0.5122626988199076,0.5040082751486941,9
2008,AL,Chilton,01021,13960.0,3674.0,17785,30830,-0.5783525442788867,0.5768731754784301,9
2008,AL,Choctaw,01023,4223.0,3636.0,7894,10820,-0.07436027362553839,0.7295748613678373,9
2008,AL,Clarke,01025,7466.0,5914.0,13435,19450,-0.11551916635653145,0.6907455012853471,9
2008,AL,Clay,01027,4984.0,1760.0,6819,10510,-0.4727965977416043,0.6488106565176023,9
2008,AL,Cleburne,01029,5216.0,1168.0,6492,11110,-0.6235366605052373,0.5843384338433844,9
2008,AL,Coffee,01031,14919.0,5079.0,20128,34530,-0.4888712241653418,0.5829134086301767,9
2008,AL,Colbert,01033,14739.0,9703.0,24843,41935,-0.20271303787787304,0.592416835578872,9
2008,AL,Conecuh,01035,3470.0,3429.0,6943,9980,-0.0059052282874837965,0.6956913827655311,9
2008,AL,Coosa,01037,3248.0,2273.0,5563,8515,-0.17526514470609383,0.6533176746917205,9
2008,AL,Covington,01039,12444.0,3240.0,15787,28085,-0.5830113384430228,0.562115008011394,9
2008,AL,Crenshaw,01041,4319.0,1938.0,6291,10050,-0.3784771896359879,0.6259701492537313,9
2008,AL,Cullman,01043,28896.0,5864.0,35305,60430,-0.6523721852428834,0.5842296872414364,9
2008,AL,Dale,01045,13886.0,5270.0,19320,35640,-0.44596273291925465,0.5420875420875421,9
2008,AL,Dallas,01047,6798.0,13986.0,20852,30790,0.344715135238826,0.6772328678142254,9
2008,AL,DeKalb,01049,17957.0,5658.0,24015,47790,-0.5121382469290027,0.502510985561833,9
2008,AL,Elmore,01051,25777.0,8301.0,34315,57225,-0.5092816552528049,0.5996505024027959,9
2008,AL,Escambia,01053,9375.0,5188.0,14674,28525,-0.28533460542456046,0.5144259421560035,9
2008,AL,Etowah,01055,30595.0,13497.0,44737,77110,-0.3821892393320965,0.5801711840228245,9
2008,AL,Fayette,01057,5883.0,1994.0,7957,13635,-0.48875204222696994,0.5835716905023836,9
2008,AL,Franklin,01059,8048.0,3469.0,11693,21360,-0.39160181305054304,0.5474250936329588,9
2008,AL,Geneva,01061,9417.0,2134.0,11657,19865,-0.624774813416831,0.5868109740750063,9
2008,AL,Greene,01063,876.0,4408.0,5305,6670,0.6657869934024505,0.795352323838081,9
2008,AL,Hale,01065,3200.0,4982.0,8214,13265,0.21694667640613585,0.6192235205427817,9
2008,AL,Henry,01067,5585.0,3018.0,8648,12520,-0.29683163737280294,0.6907348242811502,9
2008,AL,Houston,01069,29254.0,12225.0,41735,72050,-0.4080268359889781,0.5792505204718945,9
2008,AL,Jackson,01071,14083.0,6374.0,20874,40435,-0.3693111047235796,0.5162359342154075,9
2008,AL,Jefferson,01073,149921.0,166121.0,318524,487995,0.050859589858221046,0.6527198024569923,9
2008,AL,Lamar,01075,5419.0,1614.0,7075,11190,-0.537809187279152,0.6322609472743521,9
2008,AL,Lauderdale,01077,24068.0,13329.0,38104,68830,-0.2818339281965148,0.5535958157780038,9
2008,AL,Lawrence,01079,9277.0,5164.0,14680,25950,-0.28017711171662124,0.5657032755298651,9
2008,AL,Lee,01081,32230.0,21498.0,54325,98800,-0.19755177174413255,0.5498481781376519,9
2008,AL,Limestone,01083,23598.0,9536.0,33551,54845,-0.4191231259873029,0.6117421825143586,9
2008,AL,Lowndes,01085,1809.0,5449.0,7278,9255,0.5001374003847211,0.786385737439222,9
