geoid,geoname,year,cvap_est
05000US37011,"Avery County, North Carolina",2004,14168.0
05000US22009,"Avoyelles Parish, Louisiana",2004,31703.0
05000US72011,"A�asco Municipio, Puerto Rico",2004,22431.0
05000US08009,"Baca County, Colorado",2004,3045.0
05000US13005,"Bacon County, Georgia",2004,7566.0
05000US48017,"Bailey County, Texas",2004,3797.0
05000US12003,"Baker County, Florida",2004,18501.0
05000US13007,"Baker County, Georgia",2004,2551.0
05000US41001,"Baker County, Oregon",2004,12721.0
05000US01003,"Baldwin County, Alabama",2004,116753.0
05000US13009,"Baldwin County, Georgia",2004,36857.0
05000US21007,"Ballard County, Kentucky",2004,6430.0
05000US24005,"Baltimore County, Maryland",2004,572253.0
05000US24510,"Baltimore city, Maryland",2004,464416.0
05000US45009,"Bamberg County, South Carolina",2004,12532.0
05000US48019,"Bandera County, Texas",2004,15000.0
05000US13011,"Banks County, Georgia",2004,12173.0
05000US31007,"Banner County, Nebraska",2004,591.0
05000US16005,"Bannock County, Idaho",2004,56569.0
05000US26013,"Baraga County, Michigan",2004,7115.0
05000US20007,"Barber County, Kansas",2004,3912.0
05000US01005,"Barbour County, Alabama",2004,22069.0
05000US54001,"Barbour County, West Virginia",2004,12237.0
05000US72017,"Barceloneta Municipio, Puerto Rico",2004,17000.0
05000US38003,"Barnes County, North Dakota",2004,8528.0
05000US25001,"Barnstable County, Massachusetts",2004,172724.0
05000US45011,"Barnwell County, South Carolina",2004,17049.0
05000US72019,"Barranquitas Municipio, Puerto Rico",2004,21480.0
05000US21009,"Barren County, Kentucky",2004,30478.0
05000US55005,"Barron County, Wisconsin",2004,35378.0
05000US13013,"Barrow County, Georgia",2004,41041.0
05000US26015,"Barry County, Michigan",2004,43122.0
05000US29009,"Barry County, Missouri",2004,25391.0
05000US18005,"Bartholomew County, Indiana",2004,51443.0
05000US20009,"Barton County, Kansas",2004,19907.0
05000US29011,"Barton County, Missouri",2004,9369.0
05000US13015,"Bartow County, Georgia",2004,63514.0
05000US48021,"Bastrop County, Texas",2004,44846.0
05000US29013,"Bates County, Missouri",2004,12776.0
05000US21011,"Bath County, Kentucky",2004,8493.0
05000US51017,"Bath County, Virginia",2004,3885.0
05000US05005,"Baxter County, Arkansas",2004,33463.0
05000US12005,"Bay County, Florida",2004,117706.0
05000US26017,"Bay County, Michigan",2004,83141.0
05000US72021,"Bayam�n Municipio, Puerto Rico",2004,166511.0
05000US55007,"Bayfield County, Wisconsin",2004,11990.0
05000US48023,"Baylor County, Texas",2004,3034.0
05000US46005,"Beadle County, South Dakota",2004,12578.0
05000US16007,"Bear Lake County, Idaho",2004,4288.0
05000US37013,"Beaufort County, North Carolina",2004,34264.0
05000US45013,"Beaufort County, South Carolina",2004,97310.0
05000US22011,"Beauregard Parish, Louisiana",2004,24806.0
05000US40007,"Beaver County, Oklahoma",2004,3865.0
05000US42007,"Beaver County, Pennsylvania",2004,136683.0
05000US49001,"Beaver County, Utah",2004,3939.0
05000US30001,"Beaverhead County, Montana",2004,6867.0
05000US27005,"Becker County, Minnesota",2004,23671.0
05000US40009,"Beckham County, Oklahoma",2004,15352.0
05000US42009,"Bedford County, Pennsylvania",2004,38817.0
05000US47003,"Bedford County, Tennessee",2004,27761.0
05000US51019,"Bedford County, Virginia",2004,46580.0
05000US51515,"Bedford city, Virginia",2004,4255.0
05000US48025,"Bee County, Texas",2004,23715.0
05000US33001,"Belknap County, New Hampshire",2004,45779.0
05000US21013,"Bell County, Kentucky",2004,22960.0
05000US48027,"Bell County, Texas",2004,178456.0
05000US39013,"Belmont County, Ohio",2004,56114.0
